album_id,album_name,release_date,total_tracks,url,album_old
3wBabo4pmzsYjALMSKY7Iq,Illuminate (Deluxe),2017-04-20,16,https://open.spotify.com/album/3wBabo4pmzsYjALMSKY7Iq,2567
58ufpQsJ1DS5kq4hhzQDiI,Unorthodox Jukebox,2012-12-07,10,https://open.spotify.com/album/58ufpQsJ1DS5kq4hhzQDiI,4162
2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,16,https://open.spotify.com/album/2d9BCZeAAhiZWPpbX9aPCW,1250
6trNtQUgC8cgbWcqoMYkOR,beerbongs & bentleys,2018-04-27,18,https://open.spotify.com/album/6trNtQUgC8cgbWcqoMYkOR,2195
3vLaOYCNCzngDf8QdBg2V1,Uptown Special,2015-01-12,11,https://open.spotify.com/album/3vLaOYCNCzngDf8QdBg2V1,3396
4c2p3TdN7NcQfCXyueCNnC,Jungle Rules,2017-07-14,18,https://open.spotify.com/album/4c2p3TdN7NcQfCXyueCNnC,2482
1p5rgTwzlrhJnSdi93zpbd,Roses (Imanbek Remix),2019-09-13,1,https://open.spotify.com/album/1p5rgTwzlrhJnSdi93zpbd,1691
1uyf3l2d4XYwiEqAb7t7fX,Doo-Wops & Hooligans,2010-10-05,10,https://open.spotify.com/album/1uyf3l2d4XYwiEqAb7t7fX,4956
6ozp33PI3p9AdddB6ZL3xQ,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],1995-10-02,40,https://open.spotify.com/album/6ozp33PI3p9AdddB6ZL3xQ,10438
2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered),1991-09-26,13,https://open.spotify.com/album/2guirTSEqLizK7j9i1MTTZ,11905
5HMjpBO0v78ayq5lreAyDd,Faded,2015-12-04,4,https://open.spotify.com/album/5HMjpBO0v78ayq5lreAyDd,3070
1CEODgTmTwLyabvwd7HBty,Viva La Vida or Death and All His Friends,2008-05-26,10,https://open.spotify.com/album/1CEODgTmTwLyabvwd7HBty,5818
1Tz3Ai1guEFf4hV3d9i17K,At Night; Alone.,2016-05-06,18,https://open.spotify.com/album/1Tz3Ai1guEFf4hV3d9i17K,2916
2cWBwpqMsDJC1ZUwz813lo,The Eminem Show,2002-05-26,20,https://open.spotify.com/album/2cWBwpqMsDJC1ZUwz813lo,8010
6pOiDiuDQqrmo5DbG0ZubR,MONTERO,2021-09-17,15,https://open.spotify.com/album/6pOiDiuDQqrmo5DbG0ZubR,956
7wHczdY0ek3FHnfVhk10om,The Lockdown Sessions,2021-10-22,16,https://open.spotify.com/album/7wHczdY0ek3FHnfVhk10om,921
6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),2000-01-01,15,https://open.spotify.com/album/6hPkbAV3ZXpGZBGUvL6jVM,8886
5W9OT0a5iZlBr83a9WMKFY,Synchronicity (Remastered 2003),1983-06-17,11,https://open.spotify.com/album/5W9OT0a5iZlBr83a9WMKFY,14928
21HMAUrbbYSj9NiPPlGumy,Jazz (Deluxe Remastered Version),1978-11-10,18,https://open.spotify.com/album/21HMAUrbbYSj9NiPPlGumy,16608
22rp3PnM3q2mtTI0OGCzpq,Collage EP,2016-11-04,5,https://open.spotify.com/album/22rp3PnM3q2mtTI0OGCzpq,2734
2fYhqwDWXjbpjaIJPEfKFw,thank u; next,2019-02-08,12,https://open.spotify.com/album/2fYhqwDWXjbpjaIJPEfKFw,1908
4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20,14,https://open.spotify.com/album/4yP0hdKOZPNshxUOjY0cZj,1502
6nYfHQnvkvOTNHnOhDT3sr,BE,2020-11-20,8,https://open.spotify.com/album/6nYfHQnvkvOTNHnOhDT3sr,1257
61ulfFSmmxMhc2wCdmdMkN,Merry Christmas,1994-10-28,10,https://open.spotify.com/album/61ulfFSmmxMhc2wCdmdMkN,10777
0CnQ0JQajNswRjPkNYVG8m,Handwritten,2015-04-14,12,https://open.spotify.com/album/0CnQ0JQajNswRjPkNYVG8m,3304
1azUkThwd2HfUDdeNeT147,21,2011-01-19,11,https://open.spotify.com/album/1azUkThwd2HfUDdeNeT147,4850
52u4anZbHd6UInnmHRFzba,Please Excuse Me for Being Antisocial,2019-12-06,16,https://open.spotify.com/album/52u4anZbHd6UInnmHRFzba,1607
2Ti79nwTsont5ZHfdxIzAm,?,2018-03-16,18,https://open.spotify.com/album/2Ti79nwTsont5ZHfdxIzAm,2237
270o30h7cAlEhBnbuSpFZq,El Dorado,2021-03-26,13,https://open.spotify.com/album/270o30h7cAlEhBnbuSpFZq,1131
4rFrdkSWs0dtj0rWPzOk1v,Lukas Graham,2016-04-01,11,https://open.spotify.com/album/4rFrdkSWs0dtj0rWPzOk1v,2951
2wiPF3m0ylst0JSk1IvZL8,Divinely Uninspired To A Hellish Extent (Extended Edition),2019-11-22,15,https://open.spotify.com/album/2wiPF3m0ylst0JSk1IvZL8,1621
3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,2019-07-12,15,https://open.spotify.com/album/3oIFxDIo2fwuk4lwCmFZCx,1754
02tTjKlh9iQ5jlWYPbKLJZ,See You Again (feat. Charlie Puth),2015-03-10,1,https://open.spotify.com/album/02tTjKlh9iQ5jlWYPbKLJZ,3339
78bpIziExqiI9qztvNFlQu,AM,2013-09-09,12,https://open.spotify.com/album/78bpIziExqiI9qztvNFlQu,3886
2Jg7JZ0ZXOGje1bkq7CVgK,In The Lonely Hour,2014-01-01,10,https://open.spotify.com/album/2Jg7JZ0ZXOGje1bkq7CVgK,3772
04G0YylSjvDQZrjOfE5jA5,We Sing. We Dance. We Steal Things.,2008-05-12,12,https://open.spotify.com/album/04G0YylSjvDQZrjOfE5jA5,5832
43wpzak9OmQfrjyksuGwp0,Escape (Bonus Track Version),1981-01-01,14,https://open.spotify.com/album/43wpzak9OmQfrjyksuGwp0,15825
0RHX9XECH8IVI3LNgWDpmQ,A Rush of Blood to the Head,2002-08-08,11,https://open.spotify.com/album/0RHX9XECH8IVI3LNgWDpmQ,7936
3Gq2Dme9nesdgoqNNlcN8O,Despacito Feat. Justin Bieber (Remix),2017-04-17,1,https://open.spotify.com/album/3Gq2Dme9nesdgoqNNlcN8O,2570
4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,9,https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA,2721
77jAfTh3KH9K2reMOmTgOh,This Is Acting,2016-01-29,12,https://open.spotify.com/album/77jAfTh3KH9K2reMOmTgOh,3014
7KBjLhk3IM27k3ry4vBk3i,Unorthodox Jukebox,2012-12-10,10,https://open.spotify.com/album/7KBjLhk3IM27k3ry4vBk3i,4159
0HiZ8fNXwJOQcrf5iflrdz,Endless Summer Vacation,2023-03-10,13,https://open.spotify.com/album/0HiZ8fNXwJOQcrf5iflrdz,417
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,18,https://open.spotify.com/album/1NAmidJlEaVgA3MpcPFYGq,1712
0mZIUXje90JtHxPNzWsJNR,Voicenotes,2018-05-11,13,https://open.spotify.com/album/0mZIUXje90JtHxPNzWsJNR,2181
